ID,Experiment,Treatment,Condition,Sample,Side,W_sum_4,W_percent_4,W_sum_end,W_percent_end,R_count,R_density,R_percent,R_length,W_mean_center
NREXP302_Oh7B.Mannitol.80.3,NREXP302_Oh7B,Mannitol,80,3,Block,-0.9505929227,0.2755009276,-0.991476298,0.2203838411,11,2.894736842,0.2244897959,3.8,-0.0879888192
NREXP302_Oh7B.Mannitol.80.3,NREXP302_Oh7B,Mannitol,80,3,Air_1,-0.9578676531,0.2776092906,-1.380122516,0.3067715304,2.5,0.6578947369,0.0510204082,3.8,-0.0952635496
NREXP302_Oh7B.Mannitol.80.3,NREXP302_Oh7B,Mannitol,80,3,Air_2,-0.9578676531,0.2776092906,-1.380122516,0.3067715304,2.5,0.6578947369,0.0510204082,3.8,-0.0952635496
NREXP302_Oh7B.Mannitol.80.3,NREXP302_Oh7B,Mannitol,80,3,Plate,-0.5840881851,0.1692804911,-0.7471398062,0.166073098,33,8.684210526,0.6734693878,3.8,0.2785159184
NREXP303_B73.Control.0.1,NREXP303_B73,Control,0,1,Block,-0.8612918473,0.1855219967,-0.6611549649,0.193141865,39,7.090909091,0.4020618557,5.5,0.299341208
NREXP303_B73.Control.0.1,NREXP303_B73,Control,0,1,Air_1,-1.459974263,0.3144780033,-1.050423633,0.306858135,0,0,0,5.5,-0.299341208
NREXP303_B73.Control.0.1,NREXP303_B73,Control,0,1,Air_2,-1.459974263,0.3144780033,-1.050423633,0.306858135,0,0,0,5.5,-0.299341208
NREXP303_B73.Control.0.1,NREXP303_B73,Control,0,1,Plate,-0.8612918473,0.1855219967,-0.6611549649,0.193141865,58,10.54545455,0.5979381443,5.5,0.299341208
NREXP303_B73.Control.0.2,NREXP303_B73,Control,0,2,Block,-0.9846189846,0.181934271,-0.8917128915,0.1925538749,43,8.6,0.5180722892,5,0.3683682496
NREXP303_B73.Control.0.2,NREXP303_B73,Control,0,2,Air_1,-1.721355484,0.318065729,-1.423776454,0.3074461251,0,0,0,5,-0.3683682496
