Experiment,Treatment,Concentration,Sample,Distance,REGR,E1,E2,E3,C1,C2,C3,S
NREXP228,Control,0,1,20,0,-0.111000621,-0.123445293,-0.111000621,-0.120236232,-0.124770287,-0.120236232,-0.124979557
NREXP228,Control,0,1,20.5,0.031574092,-0.118846846,-0.137796666,-0.118846846,-0.133465623,-0.139824655,-0.133465623,-0.140152603
NREXP228,Control,0,1,21,0.031574092,-0.118145538,-0.13628513,-0.118145538,-0.132171722,-0.138227965,-0.132171722,-0.138543304
NREXP228,Control,0,1,21.5,0,-0.108539105,-0.118140745,-0.108539105,-0.115694798,-0.119166807,-0.115694798,-0.119331646
NREXP228,Control,0,1,22,0,-0.104205701,-0.109034297,-0.104205701,-0.10775644,-0.109545249,-0.10775644,-0.109624205
NREXP228,Control,0,1,22.5,0,-0.102085823,-0.104492018,-0.102085823,-0.103848139,-0.104745435,-0.103848139,-0.104783564
NREXP228,Control,0,1,23,0,-0.101035873,-0.102232316,-0.101035873,-0.101911159,-0.102358113,-0.101911159,-0.102376805
NREXP228,Control,0,1,23.5,0,-0.100514605,-0.101109173,-0.100514605,-0.100949437,-0.101171655,-0.100949437,-0.101180894
NREXP228,Control,0,1,24,0,-0.100255671,-0.100551098,-0.100255671,-0.100471709,-0.100582138,-0.100471709,-0.10058672
NREXP228,Control,0,1,24.5,0,-0.100127036,-0.100273829,-0.100127036,-0.100234379,-0.100289251,-0.100234379,-0.100291527
NREXP228,Control,0,1,25,0,-0.100063137,-0.100136094,-0.100063137,-0.100116487,-0.100143759,-0.100116487,-0.10014489
NREXP228,Control,0,1,25.5,0,-0.100031412,-0.10006771,-0.100031412,-0.100057955,-0.100071524,-0.100057955,-0.100072086
NREXP228,Control,0,1,26,0,-0.100015694,-0.10003383,-0.100015694,-0.100028956,-0.100035735,-0.100028956,-0.100036016
NREXP228,Control,0,1,26.5,0,-0.100007974,-0.100017188,-0.100007974,-0.100014712,-0.100018156,-0.100014712,-0.100018299
NREXP228,Control,0,1,27,0,-0.100004317,-0.100009305,-0.100004317,-0.100007965,-0.100009829,-0.100007965,-0.100009907
NREXP228,Control,0,1,27.5,0,-0.10000286,-0.100006164,-0.10000286,-0.100005276,-0.100006511,-0.100005276,-0.100006562
NREXP228,Control,0,2,0,0,-0.139663836,-0.185017543,-0.139663836,-0.173079426,-0.189817119,-0.173079426,-0.190553978
NREXP228,Control,0,2,0.5,0.050050309,-0.161462703,-0.227936614,-0.161462703,-0.211321467,-0.234987649,-0.211321467,-0.23608251
NREXP228,Control,0,2,1,0.050050309,-0.185944804,-0.280283927,-0.185944804,-0.256398265,-0.290292121,-0.256398265,-0.291848294
NREXP228,Control,0,2,1.5,0.050050309,-0.227029236,-0.36838674,-0.227029236,-0.332151333,-0.383386094,-0.332151333,-0.385727083
NREXP228,Control,0,2,2,0.050050309,-0.306708859,-0.536581917,-0.306708859,-0.478309657,-0.561093208,-0.478309657,-0.564995219
NREXP228,Control,0,2,2.5,0.521488866,-0.478400155,-0.867998847,-0.478400155,-0.776418851,-0.909631665,-0.776418851,-0.916329793
NREXP228,Control,0,2,3,0.521488866,-0.545752128,-1.009676863,-0.545752128,-0.899835515,-1.059322692,-0.899835515,-1.067351348
NREXP228,Control,0,2,3.5,0.521488866,-0.555799754,-1.03131863,-0.555799754,-0.918373456,-1.082185606,-0.918373456,-1.090398435
NREXP228,Control,0,2,4,0.521488866,-0.513682673,-0.943921058,-0.513682673,-0.84152271,-0.989847262,-0.84152271,-0.997204351
NREXP228,Control,0,2,4.5,0.031053114,-0.38530293,-0.705228105,-0.38530293,-0.623550194,-0.739341166,-0.623550194,-0.744771398
NREXP228,Control,0,2,5,0.322175291,-0.4084274,-0.734890175,-0.4084274,-0.655575778,-0.769680102,-0.655575778,-0.775213669
NREXP228,Control,0,2,5.5,0.322175291,-0.406241328,-0.728450369,-0.406241328,-0.651064107,-0.762870278,-0.651064107,-0.768394074
NREXP228,Control,0,2,6,0.322175291,-0.384478466,-0.681622181,-0.384478466,-0.610917272,-0.713397359,-0.610917272,-0.718518376
NREXP228,Control,0,2,6.5,0.322175291,-0.331888251,-0.570662999,-0.331888251,-0.51446801,-0.596164996,-0.51446801,-0.600257467
NREXP228,Control,0,2,7,0,-0.21297024,-0.34074781,-0.21297024,-0.307816162,-0.354356639,-0.307816162,-0.35651086
NREXP228,Control,0,2,7.5,0,-0.161122398,-0.231326596,-0.161122398,-0.212717736,-0.238747809,-0.212717736,-0.239886561
NREXP228,Control,0,2,8,0.011102031,-0.141484397,-0.188329369,-0.141484397,-0.176071665,-0.193276977,-0.176071665,-0.194031208
NREXP228,Control,0,2,8.5,0.011102031,-0.13680009,-0.177855336,-0.13680009,-0.167331961,-0.182213787,-0.167331961,-0.182892869
NREXP228,Control,0,2,9,0.054905063,-0.146108679,-0.194325604,-0.146108679,-0.182771776,-0.199467903,-0.182771776,-0.200287082
NREXP228,Control,0,2,9.5,0.054905063,-0.147790465,-0.197648246,-0.147790465,-0.185798573,-0.202979469,-0.185798573,-0.203838098
NREXP228,Control,0,2,10,0.054905063,-0.143828563,-0.189311401,-0.143828563,-0.178542228,-0.194172691,-0.178542228,-0.194955083
NREXP228,Control,0,2,10.5,0.023178082,-0.131426816,-0.165196755,-0.131426816,-0.156918754,-0.168803007,-0.156918754,-0.169380776
NREXP228,Control,0,2,11,0.023178082,-0.123329286,-0.14815225,-0.123329286,-0.142077671,-0.150794433,-0.142077671,-0.151212378
NREXP228,Control,0,2,11.5,0,-0.113924791,-0.129785982,-0.113924791,-0.125644256,-0.131469369,-0.125644256,-0.131732047
NREXP228,Control,0,2,12,0,-0.112366525,-0.126400691,-0.112366525,-0.122761676,-0.127893099,-0.122761676,-0.128127889
NREXP228,Control,0,2,12.5,0.027567987,-0.117967838,-0.136257852,-0.117967838,-0.13200951,-0.138212263,-0.13200951,-0.138526243
NREXP228,Control,0,2,13,0.027567987,-0.116881872,-0.133919695,-0.116881872,-0.130006039,-0.135742145,-0.130006039,-0.136036177
