ID,Experiment,Treatment,Condition,Sample,Side,W_sum_4,W_percent_4,W_sum_end,W_percent_end,R_count,R_density,R_percent,R_length,W_mean_center
NREXP243.Mannitol.440.1,NREXP243,Mannitol,440,1,Air_1,-2.04476629,0.2532968403,-2.166037521,0.2783977105,0.5,0.1470588236,0.0238095238,3.4,-0.0266141015
NREXP243.Mannitol.440.1,NREXP243,Mannitol,440,1,Air_2,-2.04476629,0.2532968403,-2.166037521,0.2783977105,0.5,0.1470588236,0.0238095238,3.4,-0.0266141015
NREXP243.Mannitol.440.1,NREXP243,Mannitol,440,1,Plate,-0.9836500582,0.1218503322,-1.052222712,0.1352406831,20,5.882352941,0.9523809524,3.4,1.03450213
NREXP243.Mannitol.440.2,NREXP243,Mannitol,440,2,Block,-3.291346509,0.3344502895,-3.291346509,0.3344502895,0,0,0,3.1,-0.8310806549
NREXP243.Mannitol.440.2,NREXP243,Mannitol,440,2,Air_1,-2.637073228,0.2679662874,-2.637073228,0.2679662874,0.5,0.1612903226,0.0238095238,3.1,-0.1768073737
NREXP243.Mannitol.440.2,NREXP243,Mannitol,440,2,Air_2,-2.637073228,0.2679662874,-2.637073228,0.2679662874,0.5,0.1612903226,0.0238095238,3.1,-0.1768073737
NREXP243.Mannitol.440.2,NREXP243,Mannitol,440,2,Plate,-1.275570452,0.1296171357,-1.275570452,0.1296171357,20,6.451612903,0.9523809524,3.1,1.184695402
NREXP243.Mannitol.440.3,NREXP243,Mannitol,440,3,Block,-3.180460967,0.3467889484,-3.082355784,0.3597817854,0,0,0,4.5,-0.8876680582
NREXP243.Mannitol.440.3,NREXP243,Mannitol,440,3,Air_1,-2.413012879,0.2631084637,-2.209178483,0.2578619195,0,0,0,4.5,-0.1202199704
NREXP243.Mannitol.440.3,NREXP243,Mannitol,440,3,Air_2,-2.413012879,0.2631084637,-2.209178483,0.2578619195,0,0,0,4.5,-0.1202199704
NREXP243.Mannitol.440.3,NREXP243,Mannitol,440,3,Plate,-1.16468491,0.1269941242,-1.066579727,0.1244943755,29,6.444444444,1,4.5,1.128107999
NREXP243.Mannitol.440.4,NREXP243,Mannitol,440,4,Block,-3.200405844,0.3440675661,-2.346239133,0.3138606691,1,0.3125,0.0454545455,3.2,-0.8749862464
NREXP243.Mannitol.440.4,NREXP243,Mannitol,440,4,Air_1,-2.45832138,0.2642879356,-2.063394323,0.2760240054,0,0,0,3.2,-0.1329017821
NREXP243.Mannitol.440.4,NREXP243,Mannitol,440,4,Air_2,-2.45832138,0.2642879356,-2.063394323,0.2760240054,0,0,0,3.2,-0.1329017821
